Id;Name;Type;DescriptionPT;DescriptionEN;Rarity;Str;Dex;Int;Luk;Cha;Con;UnlockId;UnlockStatus;InGame;;;;;;Upgrades;Atributos;;
t001;Matias;Captain;;;Common;1;1;1;1;1;1;Start;Unlocked;Ok;;;;;Comum;2;1;;Alchemist
t002;Aizak;Shipbuilder;;;Common;1;0;0;0;0;0;10;Unknow;Ok;;;;;Incomum;3;2;;Coach
t003;William;Merchant;;;Common;0;0;0;0;1;0;10;Unknow;Ok;;;;;Raro;4;3;;Shipbuilder
t004;Ray;Merchant;;;Common;0;1;0;0;0;0;10;Unknow;Ok;;;;;Lenadário;5;4;;Hunter
t005;Artur;Weaponsmith;;;Common;1;0;0;0;0;0;10;Unknow;Ok;;;;;;;;;Merchant
t006;Margareth;Weaponsmith;;;Common;0;0;1;0;0;0;10;Unknow;Ok;;;;;;;;;Weaponsmith
t007;Ersula;Shipbuilder;;;Common;0;1;0;0;0;0;10;Unknow;Ok;;;;;;;;;
t008;Filip;Merchant;;;Common;0;0;0;0;1;0;10;Unknow;Ok;;;;;;;;;
t009;Agar;Shipbuilder;;;Common;0;0;0;1;0;0;10;Unknow;Ok;;;;;;;;;
t010;Otávia;Merchant;;;Common;0;0;0;0;1;0;20;Unknow;Ok;;;;;;;;;
t011;Franco;Hunter;;;Common;0;1;0;0;0;0;99999;Unknow;;;;;;;;;;
t012;Douglas;Merchant;;;Common;0;0;0;0;1;0;99999;Unknow;;;;;;;;;;
t013;Juleo;Weaponsmith;;;Common;1;0;0;0;0;0;20;Unknow;Ok;;;;;;;;;
t014;Liu;Weaponsmith;;;Common;0;0;0;1;0;0;20;Unknow;Ok;;;;;;;;;
t015;Mary;Weaponsmith;;;Common;1;0;0;0;0;0;20;Unknow;Ok;;;;;;;;;
t016;Robert;Hunter;;;Common;0;0;0;0;0;1;99999;Unknow;;;;;;;;;;
t017;Damos;Weaponsmith;;;Common;1;0;0;0;0;0;99999;Unknow;;;;;;;;;;
t018;Itope;Shipbuilder;;;Common;0;0;0;0;0;1;30;Unknow;;;;;;;;;;
