Id;NameEN;NamePT;DescriptionEN;DescriptionPT;Scope;UpgradeType;EffectType;ExpeditionMenu;Building;UpgradeValue;TargetType;TargetId;MaxBuy;Cost;CostGrowth;Currency;UnlockId;UnlockStatus
uac001002;;Pedras Acumuladas;;Aumenta a quantidade máxima de Pedras acumuladas como munição;Company;Additive;AmmoAmmount;None;StockRoom;1;Ammo;a001;0;3;1.12;Marcos;Start;Available
uae001001;;Dano das Pedras;;Aumenta o Dano causado com Pedras;Expedition;Multiplicative;AmmoDamage;Itens;None;1.1;Ammo;a001;0;4;1.11;Experience;t005;Unknow
ucc001;;Coletar dos Peixes;;Permite coletar Ingredientes de Peixes;Company;Additive;ClickTarget;None;FishingRoom;1;Meta;Fish;1;50;1;Marcos;;Unknow
ucc002;;Observar Alvos;;Aumenta o número de alvos marcados simultaneamente;Company;Additive;ClickMax;None;FishingRoom;1;Meta;;0;200;1.8;Marcos;;Unknow
ucc003;;Raridade dos Ingredientes de Peixes;;Aumenta a raridade dos Ingredientes possíveis de serem encontrados em Peixes;Company;Additive;ClickRarity;None;FishingRoom;1;Meta;Fish;3;3000;3.8;Marcos;;Unknow
ugc001;;Percepção do Tempo 1;;Permite Aumentar a Velocidade do Jogo;Company;Additive;GameSpeed;None;CompanyRoom;1;Meta;;1;100;1;Marcos;Start;Available
uic001;;Experiência por Dia;;Aumenta o ganho de Experiência ao final de um dia sobrevivido;Company;Additive;ExperienceIncome;None;PlanningRoom;1;Meta;;0;2;1.11;Marcos;t003;Unknow
uic002;;Crescimento de Experiência por Abate;;"Aumenta a taxa de crescimento da Melhoria ""Experiência por Abate""";Company;Multiplicative;UpgradeExperiencePerKillRate;None;PlanningRoom;1.2;Upgrade;use101;0;15;1.12;Marcos;t004;Unknow
uic003;;Experiência por Abate;;Aumenta o ganho de Experiência por abate;Company;Multiplicative;ExperiencePerKill;None;PlanningRoom;1.1;Meta;;0;8;1.1;Marcos;t003;Unknow
uic101;;Marcos por Dia;;Aumenta o ganho de Marcos ao final de um dia sobrevivido;Company;Additive;MarcosIncome;None;TreasureRoom;1;Meta;;0;20;1.11;Marcos;;Unknow
uie001;;Experiência por Abate;;Aumenta o ganho de Experiência por Abate;Expedition;Multiplicative;ExperiencePerKill;Crew;None;1.1;Meta;;0;10;1.11;Experience;t004;Unknow
uie002;;Experiência por Dia;;Aumenta o ganho de Experiência ao final de um dia sobrevivido;Expedition;Additive;ExperienceIncome;Crew;None;1;Meta;;0;2;1.11;Experience;t010;Unknow
