Field;x%;y%;w%;h%;align;fontMinPt;fontMaxPt;bold
Hab1;0,049;0,813204545;0,904253968;0,056340909;left;10;12;false
Hab2;0,145825397;0,889965909;0,804777778;0,056340909;left;10;12;false
Prep;0,074238095;0,899306818;0,056428571;0,042522727;center;12;14;false
Credits;0,057904762;0,956704545;0,887936508;0,025511364;center;7;9;false
Lore;0,047507937;0,735602273;0,905746032;0,064840909;center;9;11;false
Art;0,051968254;0,330590909;0,901285714;0,385875;center;9;11;false
Health;0,065095238;0,243534091;0,119698413;0,048102273;center;12;14;true
Resistence;0,253031746;0,245045455;0,115492063;0,043590909;center;12;14;false
Atack;0,439920635;0,241284091;0,116539683;0,069147727;center;12;14;true
Damage;0,633111111;0,242034091;0,115492063;0,064647727;center;12;14;false
Bravery;0,811603175;0,237522727;0,120746032;0,068397727;center;12;14;true
Id;0,065095238;0,044352273;0,089238095;0,071409091;center;12;14;false
Name;0,209984127;0,033829545;0,581666667;0,092454545;center;14;16;true
Cost;0,829444444;0,051863636;0,116539683;0,063136364;center;12;14;false
Class;0,052492063;0,144318182;0,426269841;0,074409091;center;13;15;false
Faction;0,517619048;0,146568182;0,434666667;0,070659091;center;13;15;false
