Id;NamePT;NameEN;Color;DescriptionPT;DescriptionEN;DayEnemy;BossEnemy;EnemyType;Life;LifeGrowth;LifeRegen;LifeRegenGrowth;Speed;SpeedGrowth;Armor;ArmorGrowth;Range;RangeGrowth;Damage;DamageGrowth;AttackSpeed;AttackSpeedGrowth;SpawnDistance;SpawnDistanceGrowth;ExperienceKill;Size;Special;CommonIngredient;UncommonIngredient;RareIngredient;LegendaryIngredient;Rarity;SpawnCost;Stage;PathTypes;PathEnvironments;PathModifiers;UnlockId;UnlockStatus
e1023;Barracuda;;Preto;;;False;False;Fish;9;0.09;0;0;1.0;0;0;0;0;0;1.1;0.02;1;0;30;0;1;1.1;Swarm;BlackScale;SilverScale;None;None;10;5;;AllOcean;All;All;Start;Available
e0001;Peixe-Papagaio;;Azul;;;True;False;Fish;2;0.03;0;0;1.7;0;0;0;0;0;1;0.03;1;0;20;0;1;1;None;BlueScale;None;None;None;1000;1;;ShallowWaters;All;All;Start;Available
e0002;Peixe-Cirurgião;;Azul;;;True;False;Fish;2;0.02;0;0;1.9;0;0;0;0;0;1;0.02;1;0;20;0;1;1;None;BlueScale;None;None;None;1000;1;;ShallowWaters;All;All;Start;Available
e0006;Donzela Azul;;Azul;;;True;False;Fish;2;0.02;0;0;1.7;0;0;0;0;0;1;0.02;1;0;20;0;1;1;None;BlueScale;None;None;None;500;1;;CurrentEntrilhas;All;All;Start;Available
e1019;Peixe-Coió;;Azul;;;False;False;Fish;2;0.04;0;0;1.7;0;0;0;0;0;1;0.04;1;0;20;0;1;1;None;BlueScale;SilverScale;None;None;10;2;;AllOcean;All;All;Start;Available
e0008;Peixe-Voador;;Cinza;;;True;False;Fish;2;0.03;0;0;2.2;0;0;0;0;0;1;0.03;1;0;20;0;1;1;Fly;BlueScale;None;PinkScale;None;10;5;;ShallowWaters;All;All;Start;Available
e1002;Peixe-Bodião;;Azul;;;False;False;Fish;2;0.03;0;0;1.7;0;0;0;0;0;1.1;0.03;1;0;30;0;1;1.1;None;BrownScale;None;None;None;250;1;;AllOcean;All;All;Start;Available
e1011;Garoupa;;Cinza;;;False;False;Fish;4;0.07;0;0;1.7;0;0;0;0;0;1.2;0.07;1;0;30;0;1;1.2;None;BrownScale;None;None;None;500;2;;AllOcean;All;All;Start;Available
e1016;Peixe-Rei;;Cinza;;;False;False;Fish;3;0.02;0;0;2.4;0;0;0;0;0;0.7;0.02;1;0;10;0;1;0.7;Swarm;BrownScale;GoldenScale;None;None;10;1;;AllOcean;All;All;Start;Available
e2002;Garoupa-Gigante;;Cinza;;;True;True;Fish;45;0.05;0;0;1.9;0;1;0.02;0;0;10;0.05;1;0;40;0;10;2.5;None;BrownScale;None;None;None;1;0;;AllOcean;All;All;Start;Available
e0014;Baiacú Pequeno;Small Pufferfish;Marrom;;;True;False;Fish;4;0.06;0;0;1.1;0;0;0;0;0;1.2;0.06;0.4;0;30;0;1;1.2;None;BrownScale;None;None;None;10;2;;AllOcean;All;All;Start;Available
e0021;Peixe-Elefante;;Marrom;;;True;False;Fish;6;0.07;0;0;0.5;0;3;0.01;0;0;1.2;0.07;1;0;30;0;1;1.2;None;BrownScale;None;None;None;10;4;;AllOcean;All;All;Start;Available
e1001;Peixe-Porco;;Marrom;;;False;False;Fish;3;0.03;0;0;1.7;0;0;0;0;0;1;0.03;1;0;20;0;1;1;None;BrownScale;None;None;None;1000;2;;CurrentEntrilhas;All;All;Start;Available
e1006;Peixe-Folha;;Marrom;;;False;False;Fish;2;0.02;0;0;1.7;0;0;0;0;0;1;0.04;1;0;20;0;1;1;None;BrownScale;None;None;None;250;1;;ShallowWaters;All;All;Start;Available
e1012;Badejo;;Marrom;;;False;False;Fish;2;0.03;0;0;1.7;0;0;0;0;0;1;0.03;1;0;20;0;1;1;None;BrownScale;None;None;None;500;2;;AllOcean;All;All;Start;Available
